"rep","bee","first","prop","trips"
"2C",38,252843.441020966,0.0276653171390013,72
"2C",81,60686.09522295,0.278211443728685,272
"2C",20,NA,0,0
"2C",17,60690.7618908882,0.000386697602474895,2
"2C",29,222452.384702921,0.0529142315589954,33
"2C",82,152795.25731492,0.153239248805423,124
"2C",35,NA,0,0
"2C",12,239199.415694952,0.197560524856773,292
"2C",10,147310.247368097,0.0791229742612012,150
"2C",92,240770.918600082,0.00762875855909506,38
"2C",88,424493.096564054,0.000559346683074224,4
"2C",63,232126.235707045,0.180853440571939,166
"2C",57,87525.3085029125,0.170408811692438,32
"2C",67,56909.2553761005,0.486791072081961,590
"2C",78,234228.406358957,0.00938735177865602,8
"2C",49,34336.0496690273,0.048079724925695,500
"2C",73,NA,0,0
"2C",47,201950.847321987,0.506435643564356,1660
"2C",80,197455.672292948,0.298283261802575,432
"2C",21,234273.406413078,0.000105943426210509,2
"2C",86,202744.015347004,0.000100674519279087,2
"2C",68,74113.7851819992,0.0371009490940466,8
"2C",64,60555.7616610527,0.0263382514327521,42
"2C",65,144374.24209404,0.183188527164241,316
"2C",76,332088.421427011,0.0681017612524462,144
"2C",87,232605.403275013,0.0728259756222474,80
"2C",74,196905.171317101,0.000181719062329666,2
"2C",27,NA,0,0
"2C",37,48014.9067189693,0.420783359892644,499
"2C",72,230369.732402086,0.0488552543347065,50
"2C",53,413792.241539001,0.00539321435575602,8
"2C",1,252134.273020029,0.0519918283963228,42
"2C",19,150835.753681898,0.0439481268011528,206
"2C",15,225773.724021912,0.146403635154605,76
"2C",39,233062.904166937,0.0815313718539525,66
"2C",66,55229.4191670418,0.151417108839135,158
"2C",55,150591.253259897,0.0450310559006211,82
"2C",33,208194.691802979,0.168461797374621,40
"2C",69,200587.511365891,0.00712711586252168,26
"2C",23,322936.404402018,0.048669502423583,50
"2C",61,288079.506441116,0.0767954722872755,112
"2C",62,83021.9672040939,0.23050069818472,103
"2C",71,NA,0,0
"2C",56,62075.9310290813,0.171927590284727,334
"2C",59,NA,0,0
"2C",32,148833.75008297,0.0194805194805194,38
"2C",18,NA,0,0
"2C",43,NA,0,0
"2C",2,235707.909145117,0.126299212598425,3
"2C",70,226874.059465885,0.144626715768329,110
"2C",91,245553.260941982,0.00290838584585562,30
"2C",60,147035.580122948,0.552428571428571,1136
"2C",3,194017.832690001,0.0954349983460139,17
"2C",31,28857.7069149017,0.515065837305114,672
"2C",48,170772.790179014,0.0964065083094057,138
"2C",11,28840.2068850994,0.373062177029505,146
"2C",50,28872.8735980988,0.415541288465796,347
"2C",5,28847.0401968956,0.337495019258866,119
"3C",66,443831.409543991,0.0159584169250411,22
"3C",12,NA,0,0
"3C",74,NA,0,0
"3C",34,NA,0,0
"3C",67,NA,0,0
"3C",81,418908.851315022,0.233806315630999,1
"3C",79,NA,0,0
"3C",65,46162.6363608837,0.0305269922879177,4
"3C",1,248152.116770983,0.678052805280528,1
"3C",58,NA,0,0
"3C",11,250007.288009882,0.153136531365314,3
"3C",22,NA,0,0
"3C",51,56292.8275299072,0.592376436257523,9
"3C",39,NA,0,0
"3C",54,NA,0,0
"3C",23,NA,0,0
"3C",52,155801.232069016,0.594467769819709,3
"3C",38,152432.057305098,0.0809325809325809,38
"3C",41,NA,0,0
"3C",35,52988.9864580631,0.930115071568903,1
"3C",10,NA,0,0
"3C",72,248394.117368937,0.632129348067937,1
"3C",43,NA,0,0
